rank,nome,prov,pop,ele_m,score,salute,mobilita,istruzione,quotidiano,rischio,vitalita,m_er,m_pharm,m_doc,m_vet,m_rail,m_mjunc,m_kinder,m_school,m_upper,m_super,m_post,n_retail5,flood_p3,flood_p2,land_p34,oldindex,pct65,age_mean,pop_trend,tour_units,tour_p1000,income,coast,sea_km,beach_km,lat,lon,istat
1,Reggio nell'Emilia,RE,172284,67.0,111.2,109.5,107.1,108.3,120.8,100.4,102.5,2.4,0.3,0.3,1.0,1.0,2.1,0.8,0.2,0.3,0.3,0.1,189,1.75,100.0,0.0,171.0,21.6,44.6,0.82,162,0.9,26041.0,0,126.9,104.3,44.6994559,10.6321796,035033
2,Bologna,BO,390151,82.0,110.5,109.5,105.5,108.0,120.0,100.5,98.2,1.7,0.3,1.2,0.9,3.0,4.3,1.2,0.4,0.5,0.4,0.9,534,1.06,43.06,0.12,221.0,24.4,46.4,-0.79,171,0.4,29020.0,0,75.3,70.3,44.4885736,11.3315338,037006
3,Parma,PR,198693,68.0,110.2,108.2,106.1,107.4,120.0,100.5,100.8,3.8,1.2,1.0,2.7,4.4,1.0,0.9,0.7,2.5,0.7,0.6,212,1.4,41.54,0.0,184.0,22.6,45.2,0.04,54,0.3,28952.0,0,150.8,125.2,44.7815731,10.3292247,034027
4,Modena,MO,184074,38.0,110.1,107.6,106.2,108.0,119.8,100.8,95.4,5.7,1.7,1.9,1.0,3.7,1.7,0.7,0.5,1.1,0.7,0.8,148,0.33,5.05,0.0,206.0,24.7,46.1,-2.61,44,0.2,28563.0,0,106.2,86.6,44.6526981,10.8971783,036023
5,Riccione,RN,34340,6.0,110.0,109.4,106.9,108.1,116.1,99.6,94.4,0.9,0.6,0.6,1.1,1.5,2.2,1.0,0.4,0.4,0.6,0.9,97,4.36,17.87,0.0,268.0,27.4,48.7,-2.17,416,12.1,21066.0,1,1.3,1.3,43.9995833,12.6452204,099013
6,Piacenza,PC,103406,54.0,109.4,107.7,107.2,107.0,116.1,100.8,99.5,3.1,1.3,1.1,5.8,0.8,2.1,1.9,1.3,1.3,0.8,1.2,103,0.42,90.24,0.0,197.0,24.7,46.0,-0.48,23,0.2,26413.0,0,201.6,171.3,45.0528044,9.7128942,033032
7,Ravenna,RA,156340,3.0,109.2,109.5,106.1,108.2,113.3,97.2,96.0,1.5,0.6,0.8,0.5,2.2,3.7,0.2,0.5,0.9,0.7,0.7,69,11.71,99.99,0.0,244.0,26.1,47.8,-1.63,111,0.7,23733.0,1,9.0,9.0,44.4207423,12.1885776,039014
7,Forlì,FC,117535,22.0,109.2,107.1,107.3,108.0,114.9,100.3,98.4,6.3,1.4,1.7,4.3,1.6,0.9,0.5,0.3,2.1,0.4,1.0,85,2.01,89.64,0.05,220.0,25.9,46.9,-0.7,16,0.1,23729.0,0,24.4,5.6,44.2288679,12.0671766,040012
9,Faenza,RA,58732,30.0,108.8,109.0,106.1,107.5,112.7,99.7,101.5,2.7,0.7,1.6,0.3,1.5,4.5,0.8,0.8,2.1,0.9,1.8,76,3.74,40.89,0.08,211.0,25.5,46.7,0.96,24,0.4,23671.0,0,36.0,19.9,44.2953655,11.8968375,039010
9,Casalecchio di Reno,BO,35344,157.0,108.8,107.2,106.9,107.0,114.4,100.1,94.8,10.5,1.0,1.2,1.8,1.6,2.1,1.3,1.3,2.2,1.2,1.5,92,2.62,35.82,0.02,233.0,26.2,47.5,-2.5,5,0.1,27537.0,0,81.0,75.2,44.4714998,11.2646822,037011
11,Rimini,RN,150333,13.0,108.1,106.8,105.2,106.6,114.4,82.2,101.2,5.9,2.1,2.3,3.1,4.5,3.5,2.1,1.5,2.1,1.9,3.3,126,51.15,69.06,0.17,218.0,25.1,46.8,0.91,304,2.0,21412.0,1,4.3,4.3,44.0427328,12.5356856,099014
12,Castel Maggiore,BO,18512,31.0,107.7,106.4,106.7,107.4,110.2,100.1,101.1,10.2,0.3,0.8,9.0,0.8,3.5,0.3,0.4,3.9,0.8,0.5,43,2.58,100.0,0.0,213.0,25.0,46.7,0.77,5,0.3,27717.0,0,70.7,61.5,44.574879,11.3614115,037019
13,Scandiano,RE,25971,107.0,107.5,109.1,106.2,107.9,106.7,99.6,101.9,1.3,1.2,0.6,1.0,1.5,4.1,1.5,0.3,0.9,0.6,1.7,24,2.13,83.07,1.19,190.0,24.4,46.0,0.85,6,0.2,25214.0,0,122.6,103.9,44.5926746,10.6961644,035040
14,Casalgrande,RE,19013,95.0,107.4,107.2,107.1,106.9,108.6,100.2,101.4,6.2,0.7,2.8,4.9,1.2,2.1,0.7,0.7,5.0,0.2,0.9,30,1.27,96.08,0.73,161.0,21.0,44.3,0.02,3,0.2,25694.0,0,118.7,100.5,44.589004,10.7460157,035012
15,Sassuolo,MO,41116,119.0,107.1,106.0,107.5,107.0,108.1,100.7,103.7,14.2,0.5,2.3,4.6,0.7,1.5,1.6,1.4,1.4,1.1,2.3,42,0.21,92.46,0.24,187.0,23.5,45.5,1.84,5,0.1,26652.0,0,117.6,101.1,44.546851,10.7682852,036040
16,Gambettola,FC,10874,23.0,106.9,107.7,105.7,105.9,108.4,96.3,103.8,10.0,0.9,1.0,0.7,2.1,4.8,1.1,1.2,6.7,0.9,0.7,31,14.52,99.89,0.0,178.0,23.2,45.1,1.74,7,0.6,20876.0,0,9.7,9.5,44.1185136,12.3465346,040015
16,Zola Predosa,BO,19466,76.0,106.9,107.9,107.7,103.9,108.1,95.8,103.4,10.5,0.4,0.8,0.6,0.4,0.4,6.4,1.0,7.5,0.2,1.4,30,15.49,51.42,0.2,208.0,24.7,46.6,2.13,6,0.3,28225.0,0,84.2,76.1,44.4948717,11.2130101,037060
18,San Lazzaro di Savena,BO,32828,80.0,106.8,106.7,104.5,104.8,111.4,99.7,100.8,8.7,2.4,0.7,2.4,4.8,5.0,3.6,2.6,3.7,0.8,2.4,69,1.7,33.85,1.31,244.0,27.8,48.1,1.21,7,0.2,30253.0,0,70.1,69.7,44.4486883,11.4223515,037054
18,Savignano sul Rubicone,FC,18028,15.0,106.8,106.7,106.6,106.4,107.7,97.3,102.7,9.0,2.0,1.7,2.0,3.3,0.2,1.4,1.3,4.3,1.7,1.6,37,11.07,32.32,0.17,168.0,21.8,44.7,0.88,2,0.1,21109.0,1,6.5,6.5,44.1163283,12.4037895,040045
18,Bellaria-Igea Marina,RN,19480,2.0,106.8,107.0,107.1,104.6,108.5,87.4,101.6,1.5,1.7,2.1,7.8,2.0,1.0,1.9,1.1,10.6,0.5,1.7,37,38.72,85.07,0.0,199.0,22.9,46.2,0.82,200,10.3,19107.0,1,1.1,1.0,44.1350803,12.4658457,099001
18,Castelfranco Emilia,MO,33354,42.0,106.8,106.5,106.4,107.3,107.1,96.6,103.4,14.4,1.2,1.3,0.3,1.4,3.8,1.1,1.2,1.5,0.5,1.2,23,13.51,99.75,0.0,159.0,21.1,44.5,1.16,3,0.1,23977.0,0,93.4,78.2,44.592202,11.0673432,036006
22,Sasso Marconi,BO,14907,141.0,106.6,104.5,105.4,108.3,108.2,99.1,98.9,20.1,0.3,0.6,9.1,1.3,6.5,0.3,0.2,1.3,0.3,0.1,24,1.5,9.77,2.51,267.0,28.0,48.6,0.51,15,1.0,28778.0,0,85.2,82.4,44.3982812,11.2460994,037057
23,Fidenza,PR,27408,85.0,106.5,106.0,106.7,107.4,106.0,97.2,104.3,1.2,1.3,1.4,14.5,1.3,3.0,1.7,0.9,0.9,1.1,1.3,19,11.46,25.61,0.17,172.0,23.5,45.1,1.9,9,0.3,25173.0,0,173.4,146.0,44.8553134,10.0465545,034014
24,Fiorano Modenese,MO,16723,157.0,106.4,105.2,104.3,106.3,110.1,100.9,96.8,22.2,0.9,1.0,0.8,5.8,4.5,0.4,0.5,7.7,1.1,1.9,55,0.01,66.72,0.14,184.0,23.0,45.3,-2.19,7,0.4,25327.0,0,113.2,98.0,44.5305283,10.8274421,036013
24,Formigine,MO,34464,72.0,106.4,106.6,107.3,104.7,106.9,100.9,101.3,12.8,1.3,1.2,1.6,1.2,1.3,1.3,1.4,10.2,0.7,1.8,27,0.04,33.22,0.0,175.0,22.5,45.2,0.21,9,0.3,28038.0,0,110.4,93.3,44.5831807,10.8528434,036015
26,Solarolo,RA,4430,25.0,106.3,106.0,107.1,105.0,107.0,88.3,97.6,11.3,1.2,1.2,6.7,1.5,1.7,1.1,1.1,10.1,1.2,1.5,28,36.53,100.0,0.0,219.0,25.8,46.8,-1.16,1,0.2,21013.0,0,37.9,27.9,44.3557266,11.835596,039018
26,Castel San Giovanni,PC,14244,78.0,106.3,104.3,106.5,105.6,109.0,96.2,107.4,27.7,0.3,1.0,1.0,1.3,3.5,6.5,0.8,0.9,0.2,0.3,29,14.73,55.74,0.0,166.0,22.8,44.5,3.74,5,0.4,23273.0,0,223.7,193.6,45.0580916,9.4277764,033013
26,Castel Bolognese,RA,9502,41.0,106.3,107.4,106.0,105.7,106.2,95.3,99.2,10.8,0.9,1.4,0.7,1.2,4.9,1.5,0.7,8.2,0.7,1.0,17,17.46,98.28,0.02,196.0,25.4,46.3,-0.63,0,0.0,22956.0,0,42.2,28.5,44.3264906,11.7932773,039006
29,Dozza,BO,6569,65.0,106.2,108.3,103.8,106.6,105.9,99.9,101.0,7.4,0.4,0.5,1.9,5.3,6.4,0.8,0.8,5.4,1.8,0.6,18,3.23,35.26,0.0,185.0,23.3,45.7,0.17,10,1.5,24654.0,0,53.2,42.6,44.3861323,11.634627,037025
29,Cesena,FC,95730,34.0,106.2,104.9,106.0,107.2,106.9,95.2,96.0,3.7,2.5,2.9,12.5,3.7,2.3,1.4,1.1,1.6,1.2,3.2,40,15.66,59.44,1.37,237.0,26.5,47.6,-1.74,18,0.2,23887.0,0,16.6,12.6,44.1267443,12.2283508,040007
31,Cattolica,RN,16601,15.0,106.1,104.5,107.4,104.7,108.0,100.3,93.4,11.0,1.0,5.4,9.4,1.5,0.8,1.6,0.5,11.9,0.2,2.0,33,2.08,33.99,0.0,272.0,27.2,48.8,-2.62,42,2.5,20742.0,1,1.4,1.3,43.9562394,12.7324079,099002
32,Castenaso,BO,16531,41.0,105.9,106.6,105.6,103.5,107.9,100.5,109.7,8.4,0.7,0.7,8.8,1.5,5.7,4.9,2.0,8.5,0.3,0.3,22,1.37,100.0,0.0,200.0,25.5,46.5,6.14,2,0.1,27492.0,0,64.3,61.9,44.5121469,11.4666644,037021
33,Correggio,RE,25208,32.0,105.8,108.3,101.2,107.2,106.7,100.5,98.9,3.2,0.8,2.8,1.7,10.4,8.0,0.9,1.0,2.5,0.9,2.2,29,1.38,100.0,0.0,176.0,22.8,45.2,-1.14,6,0.2,26181.0,0,115.9,91.8,44.7557218,10.7723163,035020
33,Cavriago,RE,9937,68.0,105.8,103.7,107.4,105.6,106.8,100.9,101.7,11.1,1.0,7.5,10.1,0.3,1.8,0.9,1.0,8.6,0.9,0.5,19,0.0,100.0,0.0,191.0,24.8,46.0,0.75,1,0.1,24806.0,0,134.9,112.0,44.6997487,10.5306339,035017
35,Misano Adriatico,RN,14213,28.0,105.7,106.7,104.9,103.4,107.8,99.4,111.1,6.2,2.2,0.8,5.3,3.5,5.5,3.6,3.3,7.3,3.1,2.6,57,4.37,44.36,0.3,173.0,21.9,45.2,6.39,78,5.5,20217.0,1,3.0,2.8,43.9601533,12.6773168,099005
